Response,Breakdown,Demo,Value
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),87
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),209
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),77
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),188
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),65
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),193
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),79
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),195
Fully support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),87
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Totals,6465.091
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,1952.534
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,4512.557
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),77.638
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),379.241
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),475.987
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),1523.544
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),522.86
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),1093.424
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),809.719
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),1430.126
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),66.33
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),86.221
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,Totals,9865
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,2711
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,Non User ~ When Last Consumed Cannabis - Personally,7154
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),181
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),893
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),999
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),3205
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),684
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),1531
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),740
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),1387
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),107
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),138
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,Totals,20.413
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,24.38
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,Non User ~ When Last Consumed Cannabis - Personally,21.875
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),15.956
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),19.549
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),18.971
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),20.758
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),28.563
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),23.672
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),27.379
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),22.827
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),29.446
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),18.521
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,Totals,100
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,30.201
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,Non User ~ When Last Consumed Cannabis - Personally,69.799
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1.201
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),5.866
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),7.362
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),23.566
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),8.087
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),16.913
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),12.524
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),22.121
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1.026
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),1.334
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,Totals,100
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,119
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,Non User ~ When Last Consumed Cannabis - Personally,107
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),78
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),96
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),93
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),102
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),140
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),116
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),134
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),112
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),144
Somewhat support ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),91
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Totals,3296.009
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,337.316
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,2958.694
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),13.213
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),206.37
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),112.644
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),968.03
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),74.116
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),688.936
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),129.03
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),1024.819
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),**8.312
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),70.539
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,Totals,4572
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,516
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,Non User ~ When Last Consumed Cannabis - Personally,4056
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),41
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),406
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),233
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),1822
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),110
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),888
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),119
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),811
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),13
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),129
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,Totals,10.407
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,4.212
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,Non User ~ When Last Consumed Cannabis - Personally,14.342
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2.716
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),10.638
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4.49
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),13.189
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4.049
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),14.915
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4.363
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),16.358
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),3.69
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),15.153
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,Totals,100
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,10.234
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,Non User ~ When Last Consumed Cannabis - Personally,89.766
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),0.401
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),6.261
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),3.418
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),29.37
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2.249
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),20.902
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),3.915
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),31.093
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),0.252
Undecided ~ Legalization Of Cannabis - Support Or Oppose , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),2.14
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,Totals,100
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,40
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,Non User ~ When Last Consumed Cannabis - Personally,138
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),26
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),102
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),43
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),127
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),39
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),143
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),42
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),157
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),35
Undecided ~ Legalization Of Cannabis - Support Or Oppose , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),146
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Totals,3125.596
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,341.851
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,2783.746
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),22.768
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),255.089
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),109.674
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),1059.315
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),79.075
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),654.496
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),123.254
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),749.97
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),**7.081
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),64.876
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,Totals,4528
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,512
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,Non User ~ When Last Consumed Cannabis - Personally,4016
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),46
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),479
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),217
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),1852
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),114
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),902
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),120
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),686
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),15
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),97
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,Totals,9.869
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,4.268
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,Non User ~ When Last Consumed Cannabis - Personally,13.494
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4.679
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),13.149
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4.371
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),14.433
Somewhat oppose ~ Legalization Of Cannabis - Support Or Oppose , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4.32
